lemmatized_tokens
"['puffer', 'jacket', 'made', 'tearresistant', 'ripstop', 'fabric', 'high', 'collar', 'adjustable', 'long', 'sleeve', 'adhesive', 'strap', 'welt', 'pocket', 'hip', 'adjustable', 'hem', 'side', 'elastic', 'front', 'zip', 'closure']"
"['straight', 'fit', 'blazer', 'pointed', 'lapel', 'collar', 'long', 'sleeve', 'buttoned', 'cuff', 'welt', 'pocket', 'hip', 'interior', 'pocket', 'central', 'back', 'vent', 'hem', 'front', 'button', 'closure']"
"['slim', 'fit', 'jacket', 'notched', 'lapel', 'collar', 'long', 'sleeve', 'buttoned', 'cuff', 'welt', 'pocket', 'chest', 'flap', 'pocket', 'hip', 'interior', 'pocket', 'back', 'vent', 'front', 'button', 'closure']"
"['slim', 'fit', 'jacket', 'made', 'viscose', 'blend', 'fabric', 'notched', 'lapel', 'collar', 'long', 'sleeve', 'buttoned', 'cuff', 'welt', 'pocket', 'chest', 'flap', 'pocket', 'hip', 'interior', 'pocket', 'back', 'vent', 'front', 'button', 'closure']"
"['jacket', 'made', 'faux', 'leather', 'faux', 'shearling', 'fleece', 'interior', 'tabbed', 'lapel', 'collar', 'long', 'sleeve', 'zip', 'pocket', 'hip', 'front', 'zip', 'closure']"
"['relaxed', 'fit', 'jacket', 'contrasting', 'lapel', 'collar', 'long', 'sleeve', 'buttoned', 'cuff', 'front', 'pouch', 'pocket', 'interior', 'pocket', 'washed', 'effect', 'front', 'zip', 'closure']"
"['faux', 'leather', 'puffer', 'jacket', 'high', 'collar', 'long', 'sleeve', 'ribbed', 'interior', 'cuff', 'welt', 'pocket', 'hip', 'interior', 'pocket', 'adjustable', 'hem', 'side', 'elastic', 'front', 'zip', 'closure']"
"['straight', 'fit', 'blazer', 'made', 'linen', 'notched', 'lapel', 'collar', 'long', 'sleeve', 'buttoned', 'cuff', 'welt', 'pocket', 'chest', 'flap', 'pocket', 'hip', 'interior', 'pocket', 'back', 'vent', 'front', 'button', 'closure']"
"['jacket', 'made', 'italian', 'wool', 'pointed', 'lapel', 'collar', 'long', 'sleeve', 'buttoned', 'cuff', 'welt', 'pocket', 'chest', 'flap', 'pocket', 'hip', 'interior', 'pocket', 'back', 'vent', 'front', 'button', 'closure']"
"['puffer', 'jacket', 'made', 'shiny', 'finish', 'technical', 'fabric', 'fill', 'blend', 'feather', 'high', 'collar', 'adjustable', 'hood', 'long', 'sleeve', 'elastic', 'cuff', 'welt', 'pocket', 'hip', 'interior', 'pocket', 'adjustable', 'hem', 'side', 'elastic', 'front', 'zip', 'closure']"
"['jacket', 'made', 'wool', 'blend', 'fabric', 'lapel', 'collar', 'long', 'sleeve', 'welt', 'pocket', 'hip', 'front', 'zip', 'closure']"
"['oversized', 'cropped', 'jacket', 'notched', 'lapel', 'collar', 'long', 'sleeve', 'buttoned', 'cuff', 'flap', 'pocket', 'waist', 'ad', 'interior', 'pocket', 'front', 'button', 'closure']"
"['jacket', 'lapel', 'collar', 'snap', 'button', 'detail', 'long', 'sleeve', 'zip', 'cuff', 'front', 'zip', 'pocket', 'interior', 'pocket', 'asymmetric', 'front', 'closure', 'metal', 'zipper']"
"['leather', 'jacket', 'cropped', 'length', 'lapel', 'collar', 'long', 'sleeve', 'front', 'hidden', 'inseam', 'pocket', 'front', 'zip', 'closure']"
"['boxy', 'fit', 'jacket', 'lapel', 'collar', 'long', 'sleeve', 'buttoned', 'cuff', 'welt', 'pocket', 'hip', 'front', 'button', 'closure']"
"['jacket', 'made', 'faux', 'leather', 'fabric', 'lapel', 'collar', 'snap', 'button', 'detail', 'long', 'sleeve', 'zip', 'cuff', 'front', 'zip', 'pocket', 'chest', 'hip', 'interior', 'pocket', 'asymmetric', 'front', 'closure', 'metal', 'zipper']"
"['jacket', 'made', 'faux', 'suede', 'fabric', 'ribbed', 'elastic', 'high', 'collar', 'long', 'sleeve', 'welt', 'pocket', 'hip', 'rib', 'trim', 'front', 'zip', 'closure']"
"['jacket', 'made', 'denim', 'fabric', 'padded', 'interior', 'rib', 'elastic', 'collar', 'long', 'sleeve', 'welt', 'pocket', 'hip', 'interior', 'pocket', 'elastic', 'hem', 'allover', 'contrasting', 'topstitching', 'detail', 'front', 'zip', 'closure']"
